city,meal_price,coffee_price,beer_price,transport_ticket,taxi_km,rent_city_center,avg_salary,daily_accommodation,daily_cost_estimate
"Pune, India",3.3,1.68,2.25,0.33,0.24,214.68,531.07,10.734000000000002,16.044
"Caracas, Venezuela",5.0,1.08,1.0,0.1,1.25,256.25,21.31,12.8125,18.9925
"Stockholm, Sweden",12.92,3.96,7.24,4.14,1.4,1349.8,2698.62,67.49,88.50999999999999
"Buenos Aires, Argentina",5.89,1.57,1.47,0.31,0.35,251.44,546.06,12.572000000000001,20.342
"Minsk, Belarus",10.0,1.71,2.0,0.29,0.25,394.8,450.83,19.740000000000002,31.740000000000002
"Casablanca, Morocco",4.07,1.61,3.06,0.61,0.81,416.01,435.76,20.8005,27.0905
"Lodz, Poland",4.81,1.89,1.93,0.7,0.48,417.85,692.39,20.892500000000002,28.2925
"Montreal, Canada",10.77,2.92,5.02,2.51,1.26,921.15,2487.9,46.0575,62.25749999999999
"Sao Paulo, Brazil",5.31,1.19,1.62,0.79,0.5,394.82,451.19,19.741,27.031
"Dublin, Ireland",16.39,3.6,6.28,3.28,1.64,1866.47,2714.99,93.32350000000001,116.5935
"Moscow, Russia",8.41,2.43,2.52,0.77,0.21,880.24,958.79,44.012,55.622
"Santo Domingo, Dominican Republic",5.42,1.66,1.99,0.45,3.07,440.36,392.83,22.018,29.548000000000002
"Adelaide, Australia",11.78,2.85,5.23,2.58,1.22,888.26,2922.51,44.413000000000004,61.623000000000005
"Zurich, Switzerland",25.89,5.28,7.25,4.56,5.18,1976.87,6667.39,98.84349999999998,134.57349999999997
"Yerevan, Armenia",5.14,2.07,1.23,0.21,0.21,363.31,333.93,18.1655,25.5855
"Manila, Philippines",3.96,2.6,1.38,0.4,0.27,614.02,423.37,30.701,37.661
"Brisbane, Australia",13.09,3.0,5.24,2.62,1.42,1097.91,3198.73,54.8955,73.6055
"Jakarta, Indonesia",2.72,2.3,2.72,0.27,0.34,454.84,448.8,22.742,28.032
"Ankara, Turkey",3.99,1.84,2.94,0.52,0.5,214.0,438.42,10.700000000000001,17.05
"Manama, Bahrain",7.29,4.66,10.6,0.79,1.32,927.87,1232.75,46.393499999999996,59.1335
